Title,Post date,Application Deadline,Issues,Institution(s),Other Organization(s),URL,Body,All terms
"Outreach and Communications Coordinator, U Florida",Nov 6 2013 - 9:43pm,"January 5, 2014","November 12, 2013",University of Florida,,https://jobs.ufl.edu/postings/46543,,Jobs & Internships
"Professor/Chair, Environmental Science and Studies, Stetson U",Nov 8 2013 - 2:10pm,"January 7, 2014","November 12, 2013",Stetson University,,http://www.stetson.edu/administration/academic-affairs/media/associate-full-professor-of-environmental-science.pdf,,Jobs & Internships
"Professor, Env'l Policy & Sustainability Mgmt, The New School",Nov 8 2013 - 2:17pm,"January 7, 2014","November 12, 2013","New School, The",,https://careers.newschool.edu/postings/10134,,Jobs & Internships
"Sustainability Coordinator, Missouri State U",Nov 11 2013 - 1:05pm,"January 10, 2014","November 12, 2013",Missouri State University,,https://jobs.missouristate.edu/postings/11217,,Jobs & Internships
"Assoc. Dean, Renewable Energy, Milwaukee Area Technical College",Nov 11 2013 - 3:17pm,"January 10, 2014","November 12, 2013",Milwaukee Area Technical College,,https://careers.peopleclick.com/careerscp/Client_matc/external/jobDetails.do?functionName=getJobDetail&jobPostId=3585&localeCode=en-us,,Jobs & Internships
"Electrical Engineer, U Arkansas Little Rock",Nov 12 2013 - 2:49pm,"January 11, 2014","November 19, 2013",University of Arkansas at Little Rock,,https://ualr.peopleadmin.com/postings/1673,,Jobs & Internships
"Recycling Coordinator, Georgia State U",Nov 13 2013 - 1:46pm,"January 12, 2014",,Georgia State University,,https://gsu.taleo.net/careersection/2/jobdetail.ftl?job=23560&lang=en&sns_id=%23.UoOiB-T9V6M.gmail,,Jobs & Internships
"Sustainability Specialist, Ohio U",Nov 14 2013 - 11:26am,"January 13, 2014","November 19, 2013",Ohio University,,http://www.ohiouniversityjobs.com/postings/8176,,Jobs & Internships
"Systems Ecology Research Associate, Louisiana State U",Nov 14 2013 - 4:08pm,"January 13, 2014","November 19, 2013",Louisiana State University,,http://lsusystemcareers.lsu.edu/applicants/Central?quickFind=56813,,Jobs & Internships
"Water Campaign Manager, OCE Foundation",Nov 15 2013 - 11:21am,"January 14, 2014","November 19, 2013",,,http://www.idealist.org/view/job/MBDwXzhsstW4/,,Jobs & Internships
