Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Yale U Course Assesses Sustainability Strategic Plan,Jan 6 2015 - 2:11pm,"January 13, 2015",Yale University,,"January 5, 2015",http://sustainability.yale.edu/news/yale-course-encourages-students-engage-sustainability,"After the president recently asked about the ambition of the university's sustainability plan, students of a professor in the School of Forestry and Environmental Studies identified key areas for strengthening: improved networks and broader stakeholder engagement in regard to faculty research, student involvement and the City of New Haven; and increased knowledge creation and dissemination.",Co-Curricular Education & Student Organizing
State of Fossil Fuel Divestment in Post-secondary Institutions,Dec 18 2014 - 11:39am,"January 6, 2015",,The Sustainability and Education Policy Network,"January 6, 2015",http://sepn.ca/research_results/research-brief-state-fossil-fuel-divestment-canadian-post-secondary-institutions/,"This research brief, released by The Sustainability and Education Policy Network, outlines the state of the higher education fossil fuel divestment movement, with a particular focus on Canadian post-secondary institutions.",New Resources
Boston U Offers Energy & Environmental Concentration,Dec 18 2014 - 11:56am,"January 6, 2015",Boston University,,"January 6, 2015",http://www.bu.edu/sustainability/new-energy-environmental-sustainabilty-concentration-offered-for-mba-students/,"Offered as part of the university's MBA program, the purpose of the new Energy and Environmental Sustainability concentration is to provide students with an understanding of sustainability-related challenges that businesses face, how business can adapt to these challenges, and how to identify, evaluate and act upon the opportunities created by these changes.",Curriculum
New Book: 'Reconstructing Sustainability Science',Dec 18 2014 - 2:35pm,"January 6, 2015",Portland State University,,"January 6, 2015",http://www.routledge.com/books/details/9780415632621/,"Drawing on interviews with leading sustainability scientists, the latest in the Routledge Earthscan Science in Society series examines how researchers in the emerging, interdisciplinary field of sustainability science are attempting to define sustainability, establish research agendas, and link the knowledge they produce to societal action. Pairing these insights with case studies of innovative sustainability research centers, the book reformulates the sustainability science research agenda and its relationship to decision-making and social action. A 20 percent discount is applied when the code DC361 is used.",New Resources
Call for Proposals: Campus Sustainability in the Northeast Region,Dec 22 2014 - 4:58pm,"January 6, 2015",University of Massachusetts Amherst,,"January 6, 2015",https://docs.google.com/a/aashe.org/forms/d/1S_sLKsdvsjbV34pOfmg55EIlJaPIjwcHYguM_27PKn0/viewform,"The Northeast Campus Sustainability Consortium and the New England Campus Sustainability Forum are accepting proposals for the April 2015 conference titled Strengthening Ties for Collective Impact: Campus Sustainability in the Northeast Region. Key conference objectives are to understand and discuss the most important and urgent regional sustainability issues, determine collective impact to address these issues and to grow as sustainability professionals. Submission deadline is January 23.",Opportunities
Pace U to Unveil Environmental Policy Graduate Program,Dec 29 2014 - 1:19pm,"January 6, 2015",Pace University,,"January 6, 2015",http://www.pace.edu/dyson/academic-departments-and-programs/environmental-studies-and-science/environmental-policy-grad-program,"The new two-year masters program beginning in fall of 2015 aims to provide an understanding of the complex relationships between natural science, law and management, and how to use the tools of these disciplines to develop appropriate responses to complex environmental issues.",Curriculum
2015 AASHE Webinar Schedule,Jan 5 2015 - 12:30pm,"January 13, 2015",,AASHE,"January 6, 2015",http://www.aashe.org/events/webinars,"The AASHE 2015 Webinar Series consists of a number of different series aimed at providing professional development opportunities, tools, skills and support to our valued AASHE community. The first webinar, The Form and Function of the Sustainability Agenda in Higher Education Institutions, is January 14 and features two AASHE 2014 Sustainability Award winners. Join us by registering here. Stay tuned to the AASHE Events page for information on other webinar series and workshops to be released throughout the year.",New Resources
New Issue of Sustainability: The Journal of Record,Jan 5 2015 - 8:15pm,"January 6, 2015",Mary Ann Liebert Publishing,,"January 6, 2015",http://online.liebertpub.com/toc/sus/7/6,"The latest issue of the journal includes commentaries on climate resilience planning and the ACUPCC Climate Leadership Summit, sustainability education in marketing, and an editorial about gardening for education and activism.",New Resources
AASHE Member Discount: National Conference on Student Leadership,Jan 5 2015 - 8:21pm,"January 6, 2015",National Center for Student Life,,"January 6, 2015",http://www.aashe.org/membership/discounts,"The National Center for Student Life is offering a discounted rate to the National Conference on Student Leadership in Orlando, FL from March 26-28. AASHE members can take advantage of this exclusive 15 percent discount until January 23.",Opportunities
Champlain College to Offer Housing for Homeless,Jan 13 2015 - 11:10am,"January 20, 2015",Champlain College,,"January 6, 2015",http://www.wcax.com/story/27776137/former-burlington-club-to-become-emergency-homeless-shelter,"Due to frigid temperatures, the college is donating one of its vacant buildings to a local organization that will soon be using it as a night shelter for homeless people through April.",Public Engagement
Purchase College SUNY Receives $765K for Infrastructure,Jan 12 2015 - 11:20am,"January 13, 2015",State University of New York at Purchase,,"January 7, 2015",http://patch.com/new-york/harrison/765000-purchase-college-green-infrastructure-0,"The recently awarded $765,000 from the Regional Economic Development Council will be used for bio-retention swales and porous pavers in an effort to divert water while still allowing it to permeate the surface instead of going down the storm drains.",Water
Vanderbilt U Extends Recycling to Glass,Jan 19 2015 - 1:45pm,"January 20, 2015",Vanderbilt University,,"January 7, 2015",http://www.vanderbilthustler.com/news/article_f36951c6-9622-11e4-ab3d-fb81dfa82610.html,"Spurred by students, the university's Sustainability and Environmental Management Office has recently expanded access to glass recycling to six new campus locations and converted bins designated as event-only to public bins.",Waste
Obama Administration Proposes Free Community College [Video],Jan 19 2015 - 12:28pm,"January 20, 2015",,,"January 8, 2015",http://www.whitehouse.gov/blog/2015/01/08/president-proposes-make-community-college-free-responsible-students-2-years,"President Obama recently announced a proposal to make the first two years of community college free requiring students attend community college at least half-time, maintain a 2.5 GPA, and make progress toward completing their program. Community colleges, the federal government and participating states would have requirements that must be met as part of this proposal.",Affordability & Access
Santa Fe CC Completes 156KW Solar Electric Array,Jan 19 2015 - 1:50pm,"January 20, 2015",Santa Fe Community College,,"January 8, 2015",http://solarindustrymag.com/e107_plugins/content/content.php?content.14924,"The new 156-kilowatt photovoltaic installation combines a solar parking structure with rooftop arrays that will produce approximately 70 percent of the energy to power the building and is estimated to save the college more than $200,000 annually.",Energy
U North Carolina Wilmington Names First Diversity Officer,Jan 19 2015 - 3:00pm,"January 20, 2015","University of North Carolina, Wilmington",,"January 8, 2015",http://www.uncw.edu/articles/2015/01/uncw-names-dr-kent-guion-as-chief-diversity-officer.aspx,"Currently serving as the vice president for diversity and inclusion at Georgia Regents University, W. Kent Guion, M.D., will begin his duties in April 2015. He has 25 years of experience in higher education as a research assistant, faculty member, dean and administrator.",Coordination & Planning
EPA Honors Raritan Valley CC,Jan 19 2015 - 5:23pm,"January 20, 2015",Raritan Valley Community College,,"January 8, 2015",http://www.raritanval.edu/uploadedFiles/about/news/pr/2014-2015/PR108EPARecognizesRVCCAmongNationsLeadingGreenPowerUsers.pdf,"The U.S. Environmental Protection Agency commended the community college, an EPA Green Power Partner, for using enough wind power to meet 100 percent of the main campus' electricity needs.",Energy
Green Mountain College Receives Donated RECs from Solar System,Jan 19 2015 - 6:00pm,"January 20, 2015",Green Mountain College,,"January 8, 2015",http://vtdigger.org/2015/01/13/benson-landowner-provides-energy-credits-new-solar-installation-green-mountain-college/,"Contributing to the college's goal of using 100 percent renewable energy by 2020, the Renewable Energy Credits from a 150-kilowatt photovoltaic installation are being donated to the college and will offset approximately 8 percent of the campus' electricity consumption.",Climate
Emory U Studies Sustainability Network,Jan 14 2015 - 3:05pm,"January 20, 2015",Emory University,,"January 9, 2015",http://sustainability.emory.edu/cgi-bin/MySQLdb?VIEW=/viewfiles/view_press.txt&pressid=941,"Beginning in fall of 2014, the university's Graduate Sustainability Group conducted an analysis of involvement of graduate students in sustainability by making visible the connections between individuals and groups, and are evaluating how these relationships and interactions function.",Research
U Tennessee Knoxville Opens Public Recycling Drop Off Site,Jan 19 2015 - 1:34pm,"January 20, 2015",University of Tennessee at Knoxville,,"January 9, 2015",http://tntoday.utk.edu/2015/01/09/ut-recycling-opens-public-dropoff-site/,"The newly designated site for faculty, staff and students accepts paper, cardboard, glass, plastic, steel and aluminum cans, electronic waste, printer cartridges, batteries and scrap metal. In addition to this new site, the university's recycling program is providing at least one dumpster at all residence halls.",Waste
