Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
Campus Sustainability Day 8 Webcast,2010-08-9,"October 20, 2010; 1:00-2:30 p.m. Eastern",8/9/10,,"AASHE, The New York Times Knowledge Network",http://www.campussustainability.info,"College and university campuses will celebrate the eighth Campus Sustainability Day on Oct. 20, 2010. The event will feature the webcast, ""Empowering a Climate Change Movement: Strategies and Tools for Behavior Change, Community Engagement and Large Scale Transformation,"" sponsored by AASHE and the Higher Education Associations Sustainability Consortium, the New York Times Knowledge Network and the Society for College and University Planning. The webcast will feature content from ""Social Change 2.0: A Blueprint for Reinventing Our World"" by author David Gershon. Institutions are encouraged to share Campus Sustainability Day plans at www.CampusSustainability.info.",Events
Campus Sustainability Day 8 Webcast,2010-09-28,October 20; 1:00-2:30 p.m. Eastern,10/11/10,,,http://www.scup.org/page/profdev/webcast/2010/csd8/content,"College and university campuses will celebrate the eighth Campus Sustainability Day on Oct. 20, 2010. The event will feature the webcast, ""Empowering a Low Carbon Movement at Your Campus: Strategies and Tools for Behavior Change, Community Engagement and Large Scale Transformation,"" sponsored by AASHE and the Higher Education Associations Sustainability Consortium, the New York Times Knowledge Network and the Society for College and University Planning. The webcast will feature content from ""Social Change 2.0: A Blueprint for Reinventing Our World"" by author David Gershon. Institutions are encouraged to share Campus Sustainability Day plans at www.CampusSustainability.info.",Events
AASHE Open Space Conf Call: Ed for Sustainability Info Exchange,2010-09-27,"November 2, 2010; 1:00 - 2:00 p.m. Eastern",9/27/10,,,http://www.aashe.org/resources/open-space-conference-calls,Kankakee Community College (IL) Dean of Sustainability and Higher Education Associations Sustainability Consortium (HEASC) Sustainability Fellow Bert Jacobson will address topics related to educating for a sustainable future through collaboration and institutional transformation. Jacobson will discuss the Sustainability Task Force of the South Metropolitan Higher Education Consortium's Sustainability Planning Workshop and the current status and lessons learned from the Illinois Green Economy Network’s statewide effort to create a standardized Greening Your Curriculum for faculty. The second half of the hour is time for participants to ask questions regarding their sustainability efforts and receive possible solutions and resources from participants.,Events
Project Mgmt Strategies Webinar for Sustainability Officers,2011-12-15,"Jan. 11, 2012; 12:00 p.m. Eastern",12/20/2011,University of Vermont,,http://elpnet.org/events/project-management-strategies-environmental-leader,"Led by the University of Vermont's sustainability projects coordinator, this webinar will discuss best practices for developing project management systems that optimize communication and effectively achieve short- and long-term project goals. Higher education sustainability officers and other sustainability leaders will gain technical solutions to help organize a multitude of projects.",Events
AASHE Webinar: Bed Bugs & Chemicals of Concern (Part 2),2011-01-18,"January 26, 2011; 3:00 - 3:45 p.m. Eastern",01/24/2011 01/18/2011,,,https://www2.gotomeeting.com/register/912488459,"Sponsored and presented by AASHE Business Member Ventex, Inc., this free webinar, ""Bed Bugs & Chemicals of Concern: Strategies for Selecting Commercial Offerings that Reduce Student Exposure,"" will provide perspectives and insights from manufacturers into design options for residence hall mattresses and furnishings that will help in addressing both bed bug infestations and the reduction and elimination of chemicals of concern.  An overview of the selection process from the university vantage point will be covered by Chris O’Brien at American University (DC).",Events
CURC Webinar: Residence Hall Move-Out Programs,2011-01-21,"February 3, 2011; 1:00 - 2:30 p.m. Eastern",01/24/2011,,College & University Recycling Coalition,https://www1.gotomeeting.com/register/737223889,"As they depart their campuses for the summer, students often leave behind clothing, food, office supplies, appliances, furniture and other materials.  In this webinar from the College & University Recycling Coalition (CURC), presenters will highlight their campuses’ initiatives to donate or save and resell these resources. The webinar will be moderated by Marc Fournier, assistant director for Plant Operations & Sustainability at Lasell College in Newton, Mass.",Events
NWF Campus Ecology Webinar: Eco-Reps,2011-01-12,"February 10, 2011; 2:00 - 3:00 p.m. Eastern",02/07/2011,,,http://online.nwf.org/site/Calendar?id=104461&view=Detail,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology will host ""Eco-Reps - Training Student Leaders to Model Environmentally Responsible Behavior."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. Each webinar features three to four speakers.",Events
"U.S. EPA, Temple U Webinar: Electronics Recycling",2011-02-11,"February 16, 2011; 1:00 - 3:30 p.m. Eastern",02/14/2011,,,http://www.epa.gov/reg3wcmd/eCycling/Temple_CRC_Webinar_Flyer.pdf,"In this ""Learn to Create a Computer Recycling Facility"" webinar, Temple University's (PA) Computer Recycling Center and the U.S. Environmental Protection Agency will talk about how electronics recycling can benefit institutions, reduce energy costs, conserve natural resources and reduce greenhouse gas emissions.",Events
Rocky Mountain Sustainability Summit,2011-01-21,"February 17-18, 2011",01/24/2011,,,http://www.du.edu/green/rmss/,"Geared to students, faculty and staff at higher education institutions, sessions and keynote speakers at the Rocky Mountain Sustainability Summit will focus on sustainability issues in higher education, making the business case for sustainability, educating on environmental justice issues and moving from talk to action in the area of sustainability on campus. Speakers at the University of Denver (CO) event include AASHE board member Dave Newport, director of the University of Colorado at Boulder Environmental Center, and Doug Fine, author of “Farewell My Subaru.”",Events
STARS Webinar: Introduction to STARS Data Displays,2011-02-9,"February 22, 2011; 2:00 - 3:00 p.m. Eastern",02/14/2011,,,https://www2.gotomeeting.com/register/977816323,"As STARS Participants are completing their STARS Reports, and this information is posted publicly listed on the STARS Website, AASHE has also been developing tools to display this information. These tools will enhance the understanding of the sustainability efforts of STARS Participants. This webinar will spotlight the purpose and functionality of the STARS Data Displays and the potential applications of the STARS Data Displays.",Events
'Proxy Preview 2011' Webinar,2011-02-18,"February 23, 2011; 1:30 - 3:00 p.m. Eastern",02/21/2011,,Proxy Impact,http://bit.ly/Proxy11Reg,"Attendees to this webinar will get a first look at ""Proxy Preview 2011,"" the report with coverage of upcoming votes on environmental and social shareholder resolutions, including new advocacy sections for prominent issues of 2011 and case studies of past successes. The Proxy Preview is a collaboration between As You Sow, an environmental and social advocacy organization and publisher of the report since 2005, the Sustainable Investments Institute and Proxy Impact, a new proxy voting service for foundations and socially responsible investors. The Proxy Preview's team of issue experts will highlight key issues that investors will vote on at annual meetings in spring 2011.  Many subjects directly relate to the missions of foundations and endowments, including climate change, political spending, sexual orientation non-discrimination, board diversity, financial risks of coal, fracking, toxic products, water scarcity, human rights, electronic waste and animal welfare.",Events
NWF Campus Ecology Webinar: Geothermal on Campus,2011-01-12,"February 24, 2011; 2:00 - 3:00 p.m. Eastern",02/21/2011,,,,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology will host ""Geothermal on Campus."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. Each webinar features three to four speakers.",Events
Innovations 2011: International Community College Convention,2011-02-18,"February 27 - March 2, 2011",02/21/2011,,League of Innovation in the Community College,http://www.league.org/i2011/,"Green job programs will be a focus of Innovations 2011, an international conference for community college educators. Sponsored by the League of Innovation in the Community College, the event will feature more than 400 presentations on topics including workforce preparation and development, sustainability, and diversity, equity and inclusion.",Events
ACUPCC Webinar: Understanding Carbon Offsets,2011-02-2,"March 3, 2011; 2:00 - 3:30 p.m. Eastern",02/07/2011,,ACUPCC,http://www.presidentsclimatecommitment.org/node/6533,"Colleges and universities that have signed the American College & University Presidents' Climate Commitment (ACUPCC) are employing a variety of mitigation strategies to drive emissions reductions. For institutions that are planning for climate neutrality, the question often arises of whether and how to incorporate carbon offsets into their carbon reduction strategy. How do you navigate the current offset market? How do you ensure the quality and credibility of available offsets and providers? What are the key questions and issues to consider in your decision making process? ""Understanding Carbon Offsets: Best Practices in Creating and Purchasing High-Quality Offsets"" will help to provide clarity on the complex topic of carbon offsets.",Events
