Title,Post date,Application Deadline,Issues,Institution(s),Other Organization(s),URL,Body,All terms
"Dir., Ctr. for Environmental & Sustainability Education, Dickinson College",Jun 20 2010 - 1:03pm,"January 3, 2008",1/3/08,,,http://www.dickinson.edu/facjobs/detail.cfm?130,"Dickinson College (PA) seeks a Director for its new Center for Environmental and Sustainability Education. The Center Director will provide leadership for a major, interdisciplinary initiative to make environmental and sustainability studies a defining characteristic of the College's academic program. The Director's responsibilities will include assisting in the creation of new courses and enhancing existing offerings, conducting faculty development workshops/projects, creating and supporting student research and academic internships, integrating the College's extensive co-curricular programs with the curriculum, and administering an Environmental Education Fund in support of these activities. The Director will also teach one or two courses per year in an area of his/her environmental expertise. The Center Director reports directly to the Provost.  Review of applicants will begin March 15, 2008.",Jobs & Internships
"Faculty in Sustainability Engineering, University of Colorado Denver",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175286110,"The Civil Engineering Department at the University of Colorado at Denver invites applications for a tenure-track Assistant or Associate Professor position in Sustainability Engineering. The successful candidate is expected to develop a vigorous sponsored research program in her/his area of expertise in sustainability, teach and advise student research at all levels, and provide leadership to a campus-wide signature area in sustainability through cross-discipline and cross-campus collaborations.  Review of applications will begin January 9, 2008, and continue until position is filled.",Jobs & Internships
"Instructor in Sustainable Construction, SUNY ESF",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,http://www.aashe.org/The%20original%20link%20is%20no%20longer%20available.,"The State University of New York College of Environmental Science and Forestry seeks applicants for an Instructor position in Sustainable Construction.  The successful applicant will teach courses on sustainable construction and collaborate with faculty in research programs in one or more of the following areas: sustainable construction, implementation of sustainable design through construction methods and materials, sustainable wood-frame construction, building information modeling, environmental rating systems, lean production and life cycle analysis.  A Master's degree or B.S. degree with experience in sustainable construction is required. For first consideration, applications must be received by March 15, 2008. The position will remain open until filled.",Jobs & Internships
"Faculty in Social, Economic, Policy Aspects of the Bioeconomy, Michigan State U",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,http://www.environment.msu.edu/news/bioecon_opportunities.html,"Michigan State University seeks a researcher with a global reputation to lead its efforts examining the social, economic, and policy aspects of the bioeconomy. This position can be filled at any rank, and may have a tenure home in Anthropology, Economics, Geography, Political Science, or Sociology.  Applicants should have a well-established record of publication and extra-mural funding.  The closing date for applications is January 15, 2008, although later applications may be accepted if the search remains open.",Jobs & Internships
"Environmental Studies Faculty, Oberlin College",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,http://chronicle.com/jobs/id.php?id=0000539345-01&pg=s&cc=,"The Environmental Studies Program at Oberlin College (OH), invites applications for full-time, non-tenure-track position for one year, with possibility of renewal, beginning July 2008 at Visiting Assistant Professor or higher. The program seeks a candidate who addresses environmental policy issues from a social-science perspective.  Applications are due by February 1, 2008.",Jobs & Internships
"Asst. Prof., Environmental Policy and Management, Northern Arizona U",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,http://www.conservationbiology.org/jobs/detail.cfm?id=10155,"The Center for Environmental Sciences and Education at Northern Arizona University invites applications for a full time, tenure-track assistant professor position in environmental studies and policy. The position begins in August 2008.  This position will be responsible for advising, curriculum development, and instruction in the undergraduate environmental studies and sciences programs and the graduate environmental sciences and policy program.  Review of applications will begin on February 1, 2008, and will continue until the position is filled.",Jobs & Internships
"Sustainability Coordinator, North Carolina State University",Jul 30 2010 - 1:51pm,"January 3, 2008",1/3/08,,,https://jobs.ncsu.edu/applicants/Central?quickFind=78728,"North Carolina State University is seeking candidates for the position of Educational Planning & Development Consultant (Sustainability Coordinator). This position will serve as the Director of the University Sustainability Office and reports to the Assistant Vice Chancellor for Facilities Operations. The coordinator will work directly with the Campus Environmental Sustainability Team (CEST) in developing a long-term comprehensive strategic plan for sustainability for the University (a plan which incorporates policies and practices that preserves natural resources, conserves energy, eliminates waste and emissions, and lessens overall environmental impact), reviewing ongoing projects and programs, establishing new projects and programs, and providing support to the CEST's Task Groups. The Coordinator will develop, through CEST, an annual tactical plan for implementation of the strategies. Responsibilities include annual reporting, community relations, curriculum development, campus awareness, guidance of student organizations, sponsorship of campus events, periodic assessments, administration of the University Sustainability Office, supervision of employees and interns, and coordination of related environmental and operational programs. Applicants must have a masters degree.",Jobs & Internships
"Project Manager for Sustainability, U Chicago",Jul 30 2010 - 1:51pm,"January 10, 2008",01/10/08,,,http://www.higheredjobs.com/search/details.cfm?JobCode=175287253,"The University of Chicago (IL) seeks a Project Manager for Sustainability.  Reporting formally to the Assistant Vice President for Student Life and working day-to-day under the direction of the Sustainability Council Co-Chairs (Co-Chairs), the Project Manager for Sustainability at the University of Chicago will provide high-level administrative support and project management to the Sustainability Council to enable the Council to fulfill its communications, programmatic, and research plans. This is a 20-hours-per-week, short term position that lasts through June 30, 2008. Applications accepted until position is filled.",Jobs & Internships
"Energy Manager, SUNY Albany",Jul 30 2010 - 1:51pm,"January 10, 2008",01/10/08,,,http://chronicle.com/jobs/id.php?id=0000541199-01&pg=s&cc=,"The Office of University Facilities Operations at University at Albany is seeking a highly motivated individual for the position of University Energy Manager. The successful candidate for this position will direct and manage energy management programs with the goal of increasing campus energy efficiency, reducing operating costs, and maximizing external grants and incentives. Duties include: develop and track utility budgets; recommend and enact energy policies; promote conservation initiatives throughout the campus community; and support campus environmental sustainability efforts. The position requires knowledge of energy best practices applicable to institutions of higher education and active involvement with campus planning, operations, and maintenance staff to identify and quantify beneficial efficiency upgrades.",Jobs & Internships
"Summer Research Fellows, Sustainable Endowments Institute",Jul 30 2010 - 1:51pm,"January 10, 2008",01/10/08,,,http://www.aashe.org/The%20original%20link%20is%20no%20longer%20available.,"The Sustainable Endowments Institute is seeking highly motivated and reliable individuals for full-time summer research fellowships. Research Fellows will collaborate on surveying and analyzing sustainability initiatives at hundreds of colleges and universities in the United States and Canada to help produce the College Sustainability Report Card 2009. The fellowship positions will last approximately 10 to 12 weeks, starting in June 2008.   Flexible scheduling arrangements would be considered in certain circumstances.  Applications will be considered on a rolling basis.",Jobs & Internships
