Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
College of the Atlantic Achieves Carbon Neutrality,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"As of December 19, 2007, College of the Atlantic (ME) has fulfilled its net-zero pledge to become carbon neutral.  The College has offset the entirety of its carbon output over the past 15 months.  The College has also taken reduce its carbon emissions, including a comprehensive energy audit and extensive work to improve energy efficiency in all buildings. Where possible, incandescent lightbulbs have been replaced with compact fluorescents. Alternative commuting methods, such as carpooling and biking, have been promoted, as have flexible work plans so employees can work from home. In addition, the College is obtaining all of its electricity through a low-impact hydroelectric generator in Maine.",Climate
Energy Bill Authorizes $750M in Assistance for Campus Energy,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"The Energy Independence and Security Act of 2007, which was signed into law in late December, authorizes $250 million annually in grants and another $500 million in direct loans for renewable energy and energy efficiency projects at higher education institutions as well as public schools, or local governments.  The legislation allows for grants of up to $1 million for energy efficiency and renewable energy projects, and grants of up to $500,000 for innovative energy sustainability projects.  Smaller grants for feasibility studies and other technical assistance are also authorized.  The law directs that at least 50 percent for the grant money be awarded to higher education institutions, and at least half of that go to institutions with endowments of less than $100 million.  The law also authorizes another $100 million in annual funding for higher education research on renewable energy, including $50 million for marine renewable energy, and $25 million for biofuels.",Funding
New York Times Covers Growth in Sustainability Centers,Jul 12 2010 - 1:33pm,,,,"January 3, 2008",,"A recent article in The New York Times describes the emergence of inter-disciplinary centers focused on sustainability.  The article highlights sustainability centers at: Arizona State University, University of Califonia, Berkeley, Yale University (CT), Rochester Institute of Technology (NY), Duke University (NC), University of Michigan, University of Tennessee, University of North Carolina, and University of Pittsburgh (PA).",Funding
"Missouri, Auburn and Clemson Universities Join to Protect Tigers",Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"University of Missouri, Auburn University (AL) and Clemson University (SC) have initiated a friendly competition to see which school and its alumni can raise the most money to protect tigers around the world.  Beginning December 13, 2007, and running through December 13, 2008; students, faculty and alumni from all three schools - each of which has a tiger for its mascot - are being encouraged to make donations in their schools' name for  the ""Tigers for Tigers Challenge.""  The competition is being carried o",Funding
Portland State Announces Major Hiring Initiative in Sustainability,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"Portland State University (OR) has announced plans to hire up to 10 faculty specializing in sustainability.  The hires will be in a variety of disciplines, and are intended to deepen Portland State's commitment to sustainability.  Funding for the new positions comes from a recent state appropriation of $2 million to Portland State for faculty recruitment and retention.",Human Resources
U Arizona Launches Research Institute for Solar Energy,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"The Arizona Board of Regents have approved $3.35 million in funding for Arizona Research Institute for Solar Energy (AzRISE).  The new institute was established at University of Arizona this summer with the goal of fully developing solar energy's potential through research, industry partnerships, and policy solutions.  The research goals of AzRISE include identifying, funding and coordinating Arizona-specific solar energy research opportunities, developing intellectual property and promoting development and widespread adoption of solar energy. The new funding approved by the regents will allow AzRISE to support individual research efforts and continue its outreach efforts to promote solar energy adoption.",Research
Vermont Campus Sustainability Network Formed,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"The Vermont Campus Energy Group has launched the Vermont Campus Sustainability Network (VCSN) and an associated website. VCSN aims to serve as a clearinghouse for sustainability-related information for Vermont's college and university communities. The Network's overarching objective is to create a cohesive community among Vermont's colleges and universities based on environmental sustainability. The VCSN website features a comprehensive sustainability profile for each Vermont campus, highlights projects and achievements. The website also features state and national news and events related to campus sustainability; a sign-up for VCEG's monthly newsletter; links to campus sustainability resources and project ideas; and an online forum that allows the website's users to discuss sustainability issues and ideas.",Funding
Mills College Science Building Earns LEED Platinum Certification,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"Mills College's (CA) new Natural Sciences Building has received LEED Platinum certification.   The $17 million, 26,000 square-foot facility is almost 90 percent more energy efficient than a typical lab in the Bay Area and 45 percent more energy efficient than required by state law.  Sustainability features include: recycled carpeting; automatic sensors to switch lights on or off; tall windows to increase the depth of natural light and decrease the use of artificial lights; energy efficient glass windows; and photovoltaic panels on the roof that provide 30 percent of the building's electrical needs.  The building also has a rainwater collection system that collects up to 60,000 gallons of water a year to be used for flushing toilets.",Buildings
Walsh U Receives Grant for Green Chemistry,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"Walsh University (OH) has been awarded an $111,795 grant from the Herbert W. Hoover Foundation to develop, implement, and disseminate protocols for environmentally friendly chemistry labs.  The project has been designed to involve students, under the supervision of trained faculty researchers/educators, in the development of each lab procedure. This initiative will create a system of teaching green chemistry that participants hope will be used at other colleges and universities.",Funding
Case Western Reserve U Receives $3.6M for Institute for Energy Innovation,Jul 12 2010 - 1:33pm,1/3/08,,,"January 3, 2008",,"Case Western Reserve University (OH) has received a $3.6 million grant from the Cleveland Foundation to support the University's new Great Lakes Institute for Energy Innovation.  Based at the Case School of Engineering, the Institute will work to develop economically viable, reliable, and sustainable energy resources.  Three major areas of research are envisioned: renewable power, energy storage, and efficiency of larger energy systems. The Cleveland Foundation funds will support recruitment of new faculty for the Institute.",Funding
